Date,Open,High,Low,Close,Adj Close,Volume
1989-10-19,1764.199951,1764.199951,1764.199951,1764.199951,1764.199951,0
1989-10-20,1751.099976,1751.099976,1751.099976,1751.099976,1751.099976,0
1989-10-23,1743.000000,1743.000000,1743.000000,1743.000000,1743.000000,0
1989-10-24,1713.900024,1713.900024,1713.900024,1713.900024,1713.900024,0
1989-10-25,1687.500000,1687.500000,1687.500000,1687.500000,1687.500000,0
1989-10-26,1701.800049,1701.800049,1701.800049,1701.800049,1701.800049,0
1989-10-27,1680.599976,1680.599976,1680.599976,1680.599976,1680.599976,0
1989-10-30,1688.900024,1688.900024,1688.900024,1688.900024,1688.900024,0
1989-10-31,1695.500000,1695.500000,1695.500000,1695.500000,1695.500000,0
1989-11-01,1686.000000,1686.000000,1686.000000,1686.000000,1686.000000,0
1989-11-02,1673.500000,1673.500000,1673.500000,1673.500000,1673.500000,0
1989-11-03,1658.500000,1658.500000,1658.500000,1658.500000,1658.500000,0
1989-11-06,1658.599976,1658.599976,1658.599976,1658.599976,1658.599976,0
1989-11-07,1650.000000,1650.000000,1650.000000,1650.000000,1650.000000,0
1989-11-08,1687.000000,1687.000000,1687.000000,1687.000000,1687.000000,0
1989-11-09,1689.400024,1689.400024,1689.400024,1689.400024,1689.400024,0
1989-11-10,1707.300049,1707.300049,1707.300049,1707.300049,1707.300049,0
1989-11-13,1703.800049,1703.800049,1703.800049,1703.800049,1703.800049,0
1989-11-14,1681.199951,1681.199951,1681.199951,1681.199951,1681.199951,0
1989-11-15,1678.199951,1678.199951,1678.199951,1678.199951,1678.199951,0
1989-11-16,1687.800049,1687.800049,1687.800049,1687.800049,1687.800049,0
1989-11-17,1698.599976,1698.599976,1698.599976,1698.599976,1698.599976,0
1989-11-20,1706.699951,1706.699951,1706.699951,1706.699951,1706.699951,0
1989-11-21,1698.300049,1698.300049,1698.300049,1698.300049,1698.300049,0
1989-11-22,1706.800049,1706.800049,1706.800049,1706.800049,1706.800049,0
1989-11-23,1728.900024,1728.900024,1728.900024,1728.900024,1728.900024,0
1989-11-24,1750.000000,1750.000000,1750.000000,1750.000000,1750.000000,0
1989-11-27,1752.300049,1752.300049,1752.300049,1752.300049,1752.300049,0
1989-11-28,1752.599976,1752.599976,1752.599976,1752.599976,1752.599976,0
1989-11-29,1768.900024,1768.900024,1768.900024,1768.900024,1768.900024,0
1989-11-30,1779.099976,1779.099976,1779.099976,1779.099976,1779.099976,0
1989-12-01,1790.199951,1790.199951,1790.199951,1790.199951,1790.199951,0
1989-12-04,1798.300049,1798.300049,1798.300049,1798.300049,1798.300049,0
1989-12-05,1786.400024,1786.400024,1786.400024,1786.400024,1786.400024,0
1989-12-06,1782.099976,1782.099976,1782.099976,1782.099976,1782.099976,0
1989-12-07,1791.000000,1791.000000,1791.000000,1791.000000,1791.000000,0
1989-12-08,1783.099976,1783.099976,1783.099976,1783.099976,1783.099976,0
1989-12-11,1783.300049,1783.300049,1783.300049,1783.300049,1783.300049,0
1989-12-12,1774.199951,1774.199951,1774.199951,1774.199951,1774.199951,0
1989-12-13,1751.900024,1751.900024,1751.900024,1751.900024,1751.900024,0
1989-12-14,1743.300049,1743.300049,1743.300049,1743.300049,1743.300049,0
1989-12-15,1735.800049,1735.800049,1735.800049,1735.800049,1735.800049,0
1989-12-18,1714.000000,1714.000000,1714.000000,1714.000000,1714.000000,0
1989-12-19,1728.099976,1728.099976,1728.099976,1728.099976,1728.099976,0
1989-12-20,1739.599976,1739.599976,1739.599976,1739.599976,1739.599976,0
1989-12-21,1748.900024,1748.900024,1748.900024,1748.900024,1748.900024,0
1989-12-22,1748.400024,1748.400024,1748.400024,1748.400024,1748.400024,0
1989-12-25,1748.400024,1748.400024,1748.400024,1748.400024,1748.400024,0
1989-12-26,1748.400024,1748.400024,1748.400024,1748.400024,1748.400024,0
1989-12-27,1759.599976,1759.599976,1759.599976,1759.599976,1759.599976,0
1989-12-28,1778.099976,1778.099976,1778.099976,1778.099976,1778.099976,0
1989-12-29,1778.099976,1778.099976,1778.099976,1778.099976,1778.099976,0
1990-01-01,1778.099976,1778.099976,1778.099976,1778.099976,1778.099976,0
1990-01-02,1778.099976,1778.099976,1778.099976,1778.099976,1778.099976,0
